I'm kinda sleepy. might go and read #eclipse and then sleep.	eclipse	eclipse	Eclipse
well, f*#k. not looking good for iranian peeps.  damn it.	k	K	k
#pmqs is unsurprisingly rather rowdy this morning	pmqs	pmqs
Clobbered on thehead with 14" 2x4, ouch no good, may need stiches   #stupidaccident	stupidaccident	stupid accident
#height of cost cutting they swtichoff AC fr half an hr everyday in my office	height	Height	height
The line at petrol pump was killer and the guy at subway (food joint) is too slow. Missing #ipl	ipl	IPL	ipl
Once again Twitter is being a fickle bitch and is not sending tweets to my phone today...Boo/Hiss.  #TwitterFail http://tinyurl.com/lb889h	TwitterFail	twitter fail
#must_follow @java4two because she's a great friend that see's the good in everyone	must_follow	must _ follow
And now for something completely different: going from the writers' festival to the football.  #gopies and #ewf in the same post	gopies	go Pies
Caps dominating shots 6-2. Rags up 1-0  #caps #capstwackle	capstwackle	caps twackle
Can't believe #Microsoft and #Asus are having a pop at #Linux like this: http://bit.ly/3w3PU3	Asus	Asus
Waiting in the most ridiculously long line I've ever seen @ Pat's Steaks in Philly on 9th & Passayunk. Jim's on South was closed.  #to ...	to	to
Looks like everyone is at the #relay. Only @amberchia here etc. #ms.universe finals. Anyone... Tweet me.	relay	relay
@SWrittenWord Thank you for mention of new bloggers who might not have large following but interested in book reviews.  That's me  #BBPBEA	BBPBEA	BBPBEA
I had a nice nap on the plane, sadly not off the runway yet in Chicago. Rain delays which means no #techkaraokesf tonight	techkaraokesf	Tech Karaoke sf
GODDAMN IT TWITTER! WHAT THE HELL?!?!?! #REDWINGS SCORE AGAIN! WOOT-WOOT!! #WINGS - 3  #PENS - 1....AWWWW POOR LIL PENS   GO #REDWINGS!!!	WINGS	Wings	wings
I just went to YouTube to watch yesterday's #CraigFerguson... and then I realised it was Monday.  *watches http://bit.ly/b0EOv again*	CraigFerguson	Craig Ferguson
@Sue_Moe well it is #stalkersaturday after all	stalkersaturday	stalker saturday
I think i just got another #BaliBelly.. gee..its been 7 years and finally i had twice, two days ago and today. I don't want it anymore	BaliBelly	bali belly
#careerkiller MTV awards what they did to Eminem..	careerkiller	career killer
my #art. come and see  http://bit.ly/VaGcZ  #artwork #artist #	artwork	art work
I am an ENFJ. Now go eat.  #nomnomnom	nomnomnom	nom nom nom
i have 2 xtra tix to #IgnitePhoenix tonight! Anyone need one? The ppl i intended to go with (@raquellee & @cgtodd) cancelled at last min	IgnitePhoenix	Ignite Phoenix
Good day everyone!  Love my new followers and followees   Going to start my day off right with some Megaman 2 on #Nintendo.	Nintendo	Nintendo
#jplopen opens in 45 minutes.  Heading over to site 21 to set up solar telescopes now. 60 degrees, cloudy now, will clear later.	jplopen	JPL open
@joshthomas87 Well done on winning, looks like you were having fun  #tayg	tayg	tayg
#FACup about to start. Who to support, Everton spearheaded by Aussie Tim Cahill or Chelsea managed by 'Aussie' Guss Hiddink ?	FACup	fa cup	FA cup
Friends! Hurry up and get to this ball!  #iwny #iwny09	iwny09	IWNY 09
@Chrissyisms  us too     Thought I'd share it w/ those who are near a #DQ	DQ	DQ
Oh! Thanks! @OwlRanger I'm glad I joined  #applause  @TLGame	applause	applause
http://tinyurl.com/ox43uf #A330 #airfranceflight	A330	a330
ITS OFFICIAL MY PHONE HATES ME! No #twittexts	twittexts	twittexts	twit texts
At first, I had my doubts that #nextMEDIA tech crowd could pull off the party at Aurora...but damn was I wrong! Goodnight everyone!	nextMEDIA	next media	nextMEDIA
@fashionista8 Summer is the easiest time to potty train... and yes... It's only right  #pottytraining	pottytraining	potty training
#NationalCancerSurvivorDay and as a melanoma survivor--I'm happy to be around to celebrate it!  http://www.melanoma.org/	NationalCancerSurvivorDay	National Cancer Survivor day
Home internet has been down all day.  Again.    #Cox	Cox	Cox
Sorry! hashtag too long for #tweetie  Please use #campuswidgets (via @sapocampus)	campuswidgets	campus widgets
Off to brainstorm for a bit before #SSWC this evening.	SSWC	SSWC
@fusicology is on her way down to #NOLA #JAZZFEST - last day!  We gonna gets our CHUCK BROWN + @djsoulsister on!  Its Go-Go time!	JAZZFEST	JAZZFEST	jazz fest	JAZZ FEST	Jazz Fest
By @davorado @Jakes_BlahDeBla  Welcome! #learn #share #-fun	share	share
*Almost* managed to retrofit a page with #ajax/#javascript without breaking it in IE  /me boots windows	javascript	JavaScript	javascript
Am having a terrible mother's day. Woke up sick, missed Mass, and it's raining. #pityparty	pityparty	pity party
This #squirmles toy is such a scam! I thought it was REAL magic! What a let down!	squirmles	squirmles
@jmkitten9 Yeah but I need new pants, can't be going out with the same pants all the time can I? Also #RedEye is on here at 5pm	RedEye	RedEye	Red Eye
Just noticed the "TweetShrink" button on TweetDeck.  #tweetshrink	tweetshrink	tweet shrink
A six.  17 in 4. #t20 #PakCricket #Pakistan	t20	T20
http://bit.ly/znbL1 #family #children #kids #ReturnJosh #northcarolina #parentalrights   injustice here,  too	northcarolina	North Carolina
Feeling productive. Drafting cooperation agreements, writing #eservice development method docs, and preparing a lecture on #socialmedia.	eservice	eservice
Staring to pack for San Fran and #WWDC09...perturbed by the lack of pink shoes to put in my suitcase	WWDC09	wwdc09	WWDC 09	wwdc 09
Just been informed me that my parents' house has just been spidered by #google #streetview . Alas, he did nothing daft for the camera	streetview	Street View	street view
ugh i'm dying to hear ANYTHING from #Ellipse it's driving me nuts, I can't wait for August	Ellipse	Ellipse
Way to go. Managed to celebrate #summer solstice a full 12 hours too early	summer	summer
For Christmas, my mom wanted a Kindle. We got her a netbook. For her birthday, we got her...a Mac Mini  #kindlefail #hintfail	kindlefail	kindle fail
is watching a sobering #Oprah covering staggering new homelessness in Sacramento. wow.	Oprah	oprah	Oprah
played #SaintsRow2 for 5+ hours today, it is a crazy game, in the good way	SaintsRow2	Saints Row 2
@jessestrada @jessestrada @birdiee So sorry ladies. I called @alixrose, but I can't make it.  Still working, but wish I was w/u #crappy	crappy	crappy
@dchucks Clearly, today is not my day. @dina doesn't like my hair & you don't like "Gov 2.0".  #CISIA	CISIA	CISIA
#HIN1 #SanLuis streets empty  http://www.oem.com.mx/elsoldesanluis/notas/n1144741.htm. So,when this nightmr is over Visit #San Luis Potosi	HIN1	HIN1
Royce and Bentley have eaten my #Bold	Bold	bold
#FollowFriday Get a load of this guy! @TerenceSmelser <--- Not afraid to speak his mind. #MayBlowYOURMind #PlaysWithGunsAndBIGTrucks	PlaysWithGunsAndBIGTrucks	Plays With Guns And BIG Trucks
So you can use Tweet Later and twitter feed to help manage your twitter acc. I personally dun like tweet later tho  #scotweb2	scotweb2	Scotweb 2
two more followers to hit 100!  I think I'll give out a free gift then!  YAY!    #photography #freegift	freegift	free gift
Listening to #AFI - #MissMurderer http://snipr.com/kifux while writing the last pages of my #thesis.	thesis	thesis
@bhaddad  #mygrandmastillsaysit	mygrandmastillsaysit	my grandma still says it
Wow so many entomological authors are not attending #esa this year. I guess thanks to the economy	esa	ESA
Live from Metropolis for #deb8. #Lamprinidis has just arrived (wearing the right indigo tie	deb8	DEB8
#FOLLOWFRIDAY @MISHELLEFULLER @MERCHICK13 @PICKLEMONSTER1 @SHIZZLELIZZLE @DEBBIELE23 & ME PLZ  <3	FOLLOWFRIDAY	follow Friday	FOLLOW FRIDAY
Jobless rate rises in nearly all states - http://bit.ly/ya8I9 #cnnmoney i thought it was getting better.	cnnmoney	CNN money	cnn money
just upgraded to #pulseaudio 0.9.15 and module-bluetooth-discover works great! no more choppy sound on alsa streams	pulseaudio	pulseaudio
@socilover #today.. shopping, drinking, watching movies, doing some research, and drinking... Hiya!	today	today
2/5 #followfriday @jamesthewineguy is on of the nicest, most informative person I follow. Good on wine too  #rec	rec	rec
http://www.opccalendar.com/index/home/ working without any issues. Final bugs fixed. Just waiting for launch  #opccalendar #bug-free	bug	bug
I never realized how much my Lyte Graphics logo looked like clip art until now  #redesigning	redesigning	redesigning
Drinking something that tastes neither coffee based as purported, nor chocolate based, also as purported. Yuk.  #suckedinbythewordbelgian	suckedinbythewordbelgian	sucked in by the word belgian
Don't know why I bother with Amazon Prime. Royal Mail invariably turn up several days late anyway  #whatsthepointinamazonprime	whatsthepointinamazonprime	what's the point in amazon prime
@TheFuckingQueen: Happy fucking Birthday Your RoyalFuckingMajesty  #queenbirthday	queenbirthday	queen birthday
Very unfair of Google not to give the early developers preview of wave to the public  #nervouslywaiting	nervouslywaiting	nervously waiting
Wow the chefs this week are scoring really highly. Wylie got knocked out by .5 stars.  #topchef	topchef	Top Chef
@mrcranky Still learning every day  In the Netherlands 'liggers' (liers) call wedgies 'bukkers' (stoopers). #recumbent #ligfiets	recumbent	recumbent
does anyone want to start a paypal donation trending topic to save #greektownmusic ?  ugh.	greektownmusic	Greektown Music
Wow - only been on #Zazzle for a blink and they've already given me a "Today's Best" Award for this design: http://tinyurl.com/laeazb	Zazzle	Zazzle	ZAZZLE
Jess please wake up.  Please.  I need you. #thisismewhining #imissjess #sorryyouhaftalisten #turningintotravis	sorryyouhaftalisten	sorry you hafta listen
#MuseumsAtNight @Culture24 Pretty much anything but sleep	MuseumsAtNight	museums at night
@MarcusRomer Just catching up, just saw you beat me to it with Salmon Dave!  #fishmusic	fishmusic	Fish music
#derunkah-Twitter ;) woooooooo! Downtown enjoying the last bit o' sunshine	derunkah	derunkah
Just found out from my sister's #FB that my 5-y/o niece now has heart problems on top of her #TBI #epilepsy #cerebralpalsy  #sadhomo	cerebralpalsy	cerebral palsy
#wwjce goes to the grocery store. Stay tuned for Twitpics from the aisles! Or just go have a happy mothers day, you choose.	wwjce	wwjce
@WilliamHarryman hehe. same here. but i would like to take "real" #Buddhism further by making it more secular than it already is	Buddhism	Buddhism
@KGBWastelander if you don't compare it to #COD4 its a really well put together game! Need a Hand just holla	COD4	COD4	COD 4
@jamierumbelow starting to do that for #TTUK @grantbell wil bring us the news on Tuesday if we've got the big ones we've hoped for	TTUK	TTUK
Left off list  Willing to offer barcamp session on either adopting NewsCloud Facebook Publishing App code or How to on FB App #kncmit	kncmit	kncmit	KNC MIT
Hey #rda2009cla presentation was too large to post!  sorry   (From rules to entities: cataloguing with RDA live > http://ustre.am/2j3l)	rda2009cla	rda 2009 cla	RDA 2009 CLA
Omg Sooo Back Into #Worlds Greatest - R Kelly  Lovin It	Worlds	Worlds
#Up is really good. But sad  I just sat thinking about my grandpa.	Up	Up
@Gertrudesteinjr Don't worry, when you hear it you'll know why I'm a #cuntard	cuntard	cuntard
It's #kittensunday!!!	kittensunday	kitten sunday
@cyndeZu needs a Top notch #realtor 4 Hendersonville,TN any recommendations would be appreciated	realtor	realtor
you lucky #fluffettes that can watch Kingdom tonight!!!	fluffettes	fluffettes
@aprilyim I like the logo. Very well done.  the 2nd #tWiitUP can be my place	tWiitUP	tWiitUP
@zacparker Sorry to miss you! I've got some time now though if you're on. If not, #weekendtechtalk (#wttalk for short) continues tomorrow	wttalk	WT talk	wt talk	wttalk
8 am is just waaaay too early. I. Need. Coffee. #addicted #withdrawals. Beachy today with my fave Lauren	withdrawals	withdrawals
Looking forward to a day in the sun & watching #darraghchute  And then off to @thecatlaughs - what a day, woo!	darraghchute	darragh chute
#Hyderabad #Flex #Camp http://groups.adobe.com/posts/93d30e01fe , wondering when new delhi will host one	Flex	Flex
@capooti Would love to be able to help out (in #pinax). Let us know where we can improve. Honestly, we haven't spent much time on docs	pinax	pinax	Pinax
@LCowie I nearly got the car stuck getting out. Amun Sa do not like all this water. Great fun for my first event though!  #maelstrom	maelstrom	Maelstrom
I told myself I'd give the #cafepressfail MP a one month trial: Day 3 and my trigger finger is twitchy. I'm think I'm opting out today...	cafepressfail	Cafepress fail	cafepress fail
http://twitpic.com/6vrft - After a successful ANZ meetup, we are heading to #sfmacindie! Hopefully its still kicking!	sfmacindie	SF Mac Indie
Just installed #Sitefinity !! Looks good!!	Sitefinity	Sitefinity
@dbarnhart I'm a #pfc girl first & foremost, so with this week's rumors of a resurrection, I find myself at Cartel. enjoy #nvfn!	pfc	pfc
said something to a co-worker(a junior) that may shook his confidence, feeling #guilty	guilty	guilty
@DivadNhoj1981 We must stay strong.We must not fold.We know we fight the Good Fight.We got this!  I laugh at #rwnj Deflections...	rwnj	RWNJ	rwnj
#taverna did not seem to find any #gsoc student  http://tinyurl.com/cttxpu	taverna	taverna
@dorkomatic Link is broken  #hackspace #hsNw	hsNw	hs Nw	HS NW	hs NW	hsNw
can't play Counter Strike  computer crashes at AutoDesk Maya, Endorphin and Notepad. #SignsThatYourComputerIsAging	SignsThatYourComputerIsAging	Signs that your computer is aging
Back home from #cmma09, now dinner with wifey to celebrate our monthly anniversary	cmma09	CMMA 09
#Torchsong seriously cursed. #GetWellSoonJB et al	GetWellSoonJB	Get Well Soon JB
Have any of u seen a FURIOUS Latina??? Trust me, u'll NEVER want 2 hit the wrong buttons!  #HumanRights #Baby #Defender #Fight #Activism	Defender	Defender
120,000 people voted BNP in yorkshire and humber. I feel physically sick, this shouldn't be allowed to happen in this ago  #racism	racism	racism
what's your best netbook? my treat  http://review-joe.com/netbook/ #rex	rex	rex	Rex
@amber_benson loved the #MacarAMBER!!!	MacarAMBER	Macar Amber
#feelCRUNCHED: when u publically show someone how much u love them and u don't get anything near the same kind of response!!	feelCRUNCHED	feel crunched
It's already one year ago.. rest in peace isa  .. zometeen naar arnhem. #isadag	isadag	ISA DAG	isa dag
@keeda Bingo ! the #Hypnotist and the #Handwriting Analyst!	Hypnotist	Hypnotist
Note to self: laminated bus passes burn a little TOO well. And it stinks.  #morepoisonedgabehabe	morepoisonedgabehabe	more poisoned gabehabe
